Data;Preco ny;Variacao/mes ny;Preco bmf;Variacao/mes bmf;preco R$;Var. R$;preco US$;Var. US$;preco Dolar;M_Money_Positions_Long_ALL;M_Money_Positions_Short_ALL;M_Money_Positions_Spread_ALL;Prod_Merc_Positions_Long_ALL;Prod_Merc_Positions_Short_ALL;Other_Rept_Positions_Long_ALL;Other_Rept_Positions_Short_ALL;Other_Rept_Positions_Spread_ALL;Swap_Positions_Long_All;Swap__Positions_Short_All;Swap__Positions_Spread_All;Open_Interest_All
05/01/2010;141;-0.006;174.05;-0.0043;278.67;0.0075;160.99;0.0011;1.73;29110;9007;14649;19601;89166;7167;1391;20767;47636;8221;4342;154613
06/01/2010;141.6;0.0043;174.45;0.0023;277.24;-0.0051;159.42;-0.0098;1.74;29110;9007;14649;19601;89166;7167;1391;20767;47636;8221;4342;154613
07/01/2010;141.9;0.0021;174.05;-0.0023;276.91;-0.0012;158.69;-0.0046;1.74;29110;9007;14649;19601;89166;7167;1391;20767;47636;8221;4342;154613
08/01/2010;145.35;0.0243;177.15;0.0178;281.62;0.017;162.78;0.0258;1.73;29110;9007;14649;19601;89166;7167;1391;20767;47636;8221;4342;154613
11/01/2010;143.7;-0.0114;176.6;-0.0031;279.43;-0.0078;160.96;-0.0112;1.74;29110;9007;14649;19601;89166;7167;1391;20767;47636;8221;4342;154613
12/01/2010;143.1;-0.0042;175.8;-0.0045;280.85;0.0051;160.67;-0.0018;1.75;32507;7216;15040;19492;91496;6723;2119;20697;45924;8548;4969;156729
13/01/2010;145.15;0.0143;177.1;0.0074;281.55;0.0025;159.97;-0.0044;1.76;32507;7216;15040;19492;91496;6723;2119;20697;45924;8548;4969;156729
14/01/2010;144.35;-0.0055;176.05;-0.0059;281.46;-0.0003;159.47;-0.0031;1.76;32507;7216;15040;19492;91496;6723;2119;20697;45924;8548;4969;156729
15/01/2010;140.75;-0.0249;173.55;-0.0142;276.47;-0.0177;156.02;-0.0216;1.77;32507;7216;15040;19492;91496;6723;2119;20697;45924;8548;4969;156729
18/01/2010;141.13;0.0027;174;0.0026;278.04;0.0057;157.35;0.0085;1.77;32507;7216;15040;19492;91496;6723;2119;20697;45924;8548;4969;156729
19/01/2010;140.9;-0.0016;173.6;-0.0023;284.76;0.0242;160.7;0.0213;1.77;31255;7670;15584;20550;92803;8197;1474;20260;46627;8589;5243;158450
20/01/2010;139.2;-0.0121;171.3;-0.0132;283.13;-0.0057;158;-0.0168;1.79;31255;7670;15584;20550;92803;8197;1474;20260;46627;8589;5243;158450
21/01/2010;138.7;-0.0036;170.9;-0.0023;283.14;0;157.3;-0.0044;1.8;31255;7670;15584;20550;92803;8197;1474;20260;46627;8589;5243;158450
22/01/2010;139.6;0.0065;169.8;-0.0064;286.8;0.0129;158.01;0.0045;1.82;31255;7670;15584;20550;92803;8197;1474;20260;46627;8589;5243;158450
26/01/2010;138.25;-0.0082;167.15;-0.0156;282.47;-0.0057;153.85;-0.0138;1.84;28979;9284;15559;21524;90519;7948;1334;21204;47176;8358;5430;157148
27/01/2010;133.55;-0.034;162.4;-0.0284;279.91;-0.0091;150.57;-0.0213;1.86;28979;9284;15559;21524;90519;7948;1334;21204;47176;8358;5430;157148
28/01/2010;132.95;-0.0045;162.55;0.0009;281.2;0.0046;150.61;0.0003;1.87;28979;9284;15559;21524;90519;7948;1334;21204;47176;8358;5430;157148
